QuarterEnd,WPS101
2025-09-30,320.26
2025-06-30,317.45866666666666
2025-03-31,298.3003333333333
2024-12-31,299.6326666666667
2024-09-30,297.574
2024-06-30,305.11066666666665
2024-03-31,334.29299999999995
2023-12-31,325.662
2023-09-30,331.296
2023-06-30,343.0463333333334
2023-03-31,331.999
2022-12-31,336.05833333333334
2022-09-30,374.134
2022-06-30,405.56033333333335
2022-03-31,404.9546666666667
2021-12-31,436.92800000000005
2021-09-30,394.99766666666665
2021-06-30,329.8666666666667
2021-03-31,267.59999999999997
2020-12-31,220.5
2020-09-30,202.13333333333333
2020-06-30,200.66666666666666
2020-03-31,210.33333333333334
2019-12-31,210.73333333333335
2019-09-30,214.86666666666667
2019-06-30,225.36666666666667
2019-03-31,237.5
2018-12-31,251.33333333333334
2018-09-30,243.29999999999998
2018-06-30,234.5666666666667
2018-03-31,222.33333333333334
2017-12-31,216.1
2017-09-30,213.20000000000002
2017-06-30,209.9333333333333
2017-03-31,209.26666666666665
2016-12-31,
2016-09-30,
2016-06-30,
2016-03-31,
2015-12-31,
2015-09-30,
2015-06-30,
2015-03-31,
2014-12-31,
2014-09-30,
2014-06-30,
2014-03-31,
2013-12-31,
2013-09-30,
2013-06-30,
2013-03-31,
2012-12-31,
2012-09-30,
2012-06-30,
2012-03-31,
2011-12-31,
2011-09-30,
2011-06-30,
2011-03-31,
2010-12-31,
2010-09-30,
2010-06-30,
2010-03-31,
2009-12-31,
2009-09-30,
2009-06-30,
2009-03-31,
2008-12-31,
2008-09-30,
2008-06-30,
2008-03-31,
2007-12-31,
2007-09-30,
2007-06-30,
2007-03-31,
2006-12-31,
2006-09-30,
2006-06-30,
2006-03-31,
2005-12-31,
2005-09-30,
2005-06-30,
2005-03-31,
2004-12-31,
2004-09-30,
2004-06-30,
2004-03-31,
2003-12-31,
2003-09-30,
2003-06-30,
2003-03-31,
2002-12-31,118.83333333333333
2002-09-30,116.90000000000002
2002-06-30,112.63333333333333
2002-03-31,107.96666666666665
2001-12-31,108.5
2001-09-30,109.39999999999999
2001-06-30,109.73333333333333
2001-03-31,111.13333333333333
2000-12-31,114.03333333333335
2000-09-30,115.83333333333333
2000-06-30,118.0
2000-03-31,118.53333333333335
1999-12-31,116.23333333333333
1999-09-30,113.26666666666667
1999-06-30,112.96666666666665
1999-03-31,113.73333333333333
1998-12-31,116.43333333333334
1998-09-30,121.83333333333333
1998-06-30,125.06666666666666
1998-03-31,126.66666666666667
1997-12-31,127.69999999999999
1997-09-30,126.3
1997-06-30,125.66666666666667
1997-03-31,126.10000000000001
1996-12-31,
1996-09-30,
1996-06-30,
1996-03-31,
1995-12-31,
1995-09-30,
1995-06-30,
1995-03-31,
1994-12-31,
1994-09-30,
1994-06-30,
1994-03-31,
1993-12-31,
1993-09-30,
1993-06-30,
1993-03-31,
1992-12-31,
1992-09-30,
1992-06-30,
1992-03-31,
1991-12-31,
1991-09-30,
1991-06-30,
1991-03-31,
1990-12-31,
1990-09-30,
1990-06-30,
1990-03-31,
1989-12-31,117.39999999999999
1989-09-30,118.60000000000001
1989-06-30,120.3
1989-03-31,120.03333333333335
1988-12-31,117.93333333333334
1988-09-30,117.5
1988-06-30,114.93333333333334
1988-03-31,112.43333333333334
1987-12-31,109.96666666666665
1987-09-30,104.06666666666666
1987-06-30,102.3
1987-03-31,102.06666666666666
1986-12-31,101.3
1986-09-30,101.26666666666667
1986-06-30,101.2
1986-03-31,100.93333333333334
1985-12-31,104.2
1985-09-30,104.66666666666667
1985-06-30,105.03333333333335
1985-03-31,105.36666666666667
1984-12-31,105.43333333333334
1984-09-30,105.56666666666666
1984-06-30,105.33333333333333
1984-03-31,104.76666666666667
1983-12-31,103.13333333333333
1983-09-30,101.83333333333333
1983-06-30,100.63333333333333
1983-03-31,99.59999999999998
1982-12-31,99.06666666666666
1982-09-30,99.8
1982-06-30,100.33333333333333
1982-03-31,100.7
1981-12-31,100.76666666666667
1981-09-30,100.7
1981-06-30,97.2
1981-03-31,95.23333333333333
1980-12-31,92.89999999999999
1980-09-30,89.7
1980-06-30,89.63333333333333
1980-03-31,87.86666666666667
1979-12-31,86.56666666666666
1979-09-30,84.56666666666666
1979-06-30,82.60000000000001
1979-03-31,80.93333333333334
1978-12-31,77.8
1978-09-30,75.96666666666667
1978-06-30,73.93333333333334
1978-03-31,71.53333333333335
1977-12-31,69.76666666666667
1977-09-30,68.86666666666666
1977-06-30,66.93333333333334
1977-03-31,66.46666666666667
1976-12-31,65.46666666666665
1976-09-30,64.5
1976-06-30,63.13333333333333
1976-03-31,61.9
1975-12-31,60.76666666666667
1975-09-30,58.23333333333333
1975-06-30,58.833333333333336
1975-03-31,59.300000000000004
1974-12-31,58.93333333333334
1974-09-30,57.1
1974-06-30,50.166666666666664
1974-03-31,44.53333333333333
1973-12-31,41.766666666666666
1973-09-30,39.96666666666667
1973-06-30,39.73333333333333
1973-03-31,39.23333333333333
1972-12-31,38.26666666666667
1972-09-30,37.733333333333334
1972-06-30,37.800000000000004
1972-03-31,37.766666666666666
1971-12-31,37.166666666666664
1971-09-30,36.5
1971-06-30,35.23333333333333
1971-03-31,34.733333333333334
1970-12-31,34.53333333333333
1970-09-30,34.166666666666664
1970-06-30,33.833333333333336
1970-03-31,33.166666666666664
1969-12-31,32.5
1969-09-30,31.866666666666664
1969-06-30,31.233333333333334
1969-03-31,30.7
1968-12-31,30.366666666666664
1968-09-30,29.96666666666667
1968-06-30,29.933333333333334
1968-03-31,29.96666666666667
1967-12-31,29.766666666666666
1967-09-30,29.46666666666667
1967-06-30,29.46666666666667
1967-03-31,29.333333333333332
